,job_name,job_href,job_site,job_price_min,job_price_max,job_price_currency
146,DevOps специалист,https://ekaterinburg.hh.ru/vacancy/67164866?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,2000,3000,USD
147,Инженер-программист по сопровождению,https://ekaterinburg.hh.ru/vacancy/67144378?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
148,Инженер внедрения систем мониторинга информационной безопасности (SIEM),https://ekaterinburg.hh.ru/vacancy/51627482?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
149,Programming Team Lead (С++),https://ekaterinburg.hh.ru/vacancy/55045852?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
150,SRE инженер в Маркет,https://ekaterinburg.hh.ru/vacancy/67164199?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
151,Ruby on Rails разработчик,https://ekaterinburg.hh.ru/vacancy/67156096?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
152,Programming Tech Lead (Engine),https://ekaterinburg.hh.ru/vacancy/67159499?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
153,Junior программист,https://ekaterinburg.hh.ru/vacancy/55543570?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,20000,40000,руб.
154,Системный администратор,https://ekaterinburg.hh.ru/vacancy/66076758?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
155,Senior C++ Developer (Gameplay),https://ekaterinburg.hh.ru/vacancy/67070586?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
156,Разработчик (АС Банковское страхование),https://ekaterinburg.hh.ru/vacancy/67066512?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
